url,team_name
https://www.vlr.gg/team/9076/alpha-1,alpha 1
https://www.vlr.gg/team/6022/hyperspace-dark,hyperspace dark
https://www.vlr.gg/team/10724/ecf,ecf
https://www.vlr.gg/team/4837/shopify-rebellion-gc,shopify rebellion gc
https://www.vlr.gg/team/6727/misfits-black,misfits black
https://www.vlr.gg/team/9547/evil-geniuses-gc,evil geniuses gc
https://www.vlr.gg/team/1669/able-esports,able esports
https://www.vlr.gg/team/9772/orion,orion
https://www.vlr.gg/team/6961/loud,loud
https://www.vlr.gg/team/2406/furia,furia
https://www.vlr.gg/team/9447/the-union,the union
https://www.vlr.gg/team/4958/oddik,oddik
https://www.vlr.gg/team/1124/red-canids,red canids
https://www.vlr.gg/team/11993/mercedes,mercedes
https://www.vlr.gg/team/11909/peito-infinity,peito infinity
https://www.vlr.gg/team/11997/vitimas-do-rdo,vitimas do rdo
https://www.vlr.gg/team/10735/tropicaos,tropicaos
https://www.vlr.gg/team/6946/tbk-esports,tbk esports
https://www.vlr.gg/team/2343/rise-gaming,rise gaming
https://www.vlr.gg/team/8532/totalepro,totalepro
https://www.vlr.gg/team/11888/villa-mix-team,villa mix team
https://www.vlr.gg/team/7355/rd-e-sports,rd e-sports
https://www.vlr.gg/team/11882/mixx,mixx
https://www.vlr.gg/team/9201/delira,delira
https://www.vlr.gg/team/4894/keyd-stars,keyd stars
https://www.vlr.gg/team/8298/reign,reign
https://www.vlr.gg/team/11883/cardume,cardume
https://www.vlr.gg/team/10732/dogma,dogma
https://www.vlr.gg/team/10933/ultimate,ultimate
https://www.vlr.gg/team/7640/4-ruim-e-1-ruim,4 ruim e 1 ruim
https://www.vlr.gg/team/10730/top-gun,top gun
https://www.vlr.gg/team/10763/rumble,rumble
https://www.vlr.gg/team/8271/maniacos-da-mira,maniacos da mira
https://www.vlr.gg/team/11890/smoke-troop,smoke troop
https://www.vlr.gg/team/10775/drope-e-amigos,drope e amigos
https://www.vlr.gg/team/11880/da1tab,da1tab
https://www.vlr.gg/team/11886/os-ponta-firme,os ponta firme
https://www.vlr.gg/team/10754/nada-mal-si-nos-t-fazendo-dinheiro,"nada mal si nos tá, fazendo dinheiro..."
https://www.vlr.gg/team/7349/renegados,renegados
https://www.vlr.gg/team/11195/00nation,00nation
https://www.vlr.gg/team/8985/kbd,kbd
https://www.vlr.gg/team/8983/zana-e-amigos,zana e amigos
https://www.vlr.gg/team/448/oskaravelho,oskaravelho
https://www.vlr.gg/team/6220/s-deus-sabe,só deus sabe
https://www.vlr.gg/team/10762/supernova-e-team,supernova e-team
https://www.vlr.gg/team/8342/ajf-e-sports,ajf e-sports
https://www.vlr.gg/team/8494/jns-gaming,jns gaming
https://www.vlr.gg/team/10758/numb,numb
https://www.vlr.gg/team/10727/stellae-gaming,stellae gaming
https://www.vlr.gg/team/7383/utah-bless,utah bless
https://www.vlr.gg/team/10755/galorys-company,galorys company
https://www.vlr.gg/team/8950/ddos,ddos
https://www.vlr.gg/team/8482/v9ganic,v9ganic
https://www.vlr.gg/team/8362/blowzin-e-amigos,blowzin e amigos
https://www.vlr.gg/team/7363/ats-brave,ats brave
https://www.vlr.gg/team/581/liberty,liberty
https://www.vlr.gg/team/7644/aquele-l,aquele lá
https://www.vlr.gg/team/11017/flamengo-esports,flamengo esports
https://www.vlr.gg/team/7346/medellin,medellin
https://www.vlr.gg/team/7637/n-o-temos-um-plano,não temos um plano
